City,State,ZipCode
Akutan,Alaska,99553
Cold Bay,Alaska,99571
False Pass,Alaska,99583
King Cove,Alaska,99612
Sand Point,Alaska,99661
Adak,Alaska,99546
Atka,Alaska,99547
Saint George Island,Alaska,99591
Nikolski,Alaska,99638
Saint Paul Island,Alaska,99660
Unalaska,Alaska,99685
Dutch Harbor,Alaska,99692
Anchorage,Alaska,99501
Anchorage,Alaska,99502
Anchorage,Alaska,99503
Anchorage,Alaska,99504
Jber,Alaska,99505
Jber,Alaska,99506
Anchorage,Alaska,99507
Anchorage,Alaska,99508
Anchorage,Alaska,99509
Anchorage,Alaska,99510
Anchorage,Alaska,99511
Anchorage,Alaska,99513
Anchorage,Alaska,99514
Anchorage,Alaska,99515
Anchorage,Alaska,99516
Anchorage,Alaska,99517
Anchorage,Alaska,99518
Anchorage,Alaska,99519
Anchorage,Alaska,99520
Anchorage,Alaska,99521
Anchorage,Alaska,99522
Anchorage,Alaska,99523
Anchorage,Alaska,99524
Anchorage,Alaska,99529
Anchorage,Alaska,99530
Indian,Alaska,99540
Chugiak,Alaska,99567
Eagle River,Alaska,99577
Girdwood,Alaska,99587
Anchorage,Alaska,99599
Anchorage,Alaska,99695
Kongiganak,Alaska,99545
Akiachak,Alaska,99551
Akiak,Alaska,99552
Aniak,Alaska,99557
Bethel,Alaska,99559
Chefornak,Alaska,99561
Crooked Creek,Alaska,99575
Eek,Alaska,99578
Goodnews Bay,Alaska,99589
Kalskag,Alaska,99607
Kasigluk,Alaska,99609
Kipnuk,Alaska,99614
Kwethluk,Alaska,99621
Kwigillingok,Alaska,99622
Lower Kalskag,Alaska,99626
Mekoryuk,Alaska,99630
Napakiak,Alaska,99634
Toksook Bay,Alaska,99637
Nunapitchuk,Alaska,99641
Platinum,Alaska,99651
Quinhagak,Alaska,99655
Red Devil,Alaska,99656
Sleetmute,Alaska,99668
Tuluksak,Alaska,99679
Tuntutuliak,Alaska,99680
Tununak,Alaska,99681
Nightmute,Alaska,99690
King Salmon,Alaska,99613
Naknek,Alaska,99633
South Naknek,Alaska,99670
Clear,Alaska,99704
Cantwell,Alaska,99729
Healy,Alaska,99743
Anderson,Alaska,99744
Denali National Park,Alaska,99755
Aleknagik,Alaska,99555
Clarks Point,Alaska,99569
Dillingham,Alaska,99576
Ekwok,Alaska,99580
Manokotak,Alaska,99628
New Stuyahok,Alaska,99636
Togiak,Alaska,99678
Fairbanks,Alaska,99701
Eielson Afb,Alaska,99702
Fort Wainwright,Alaska,99703
North Pole,Alaska,99705
Fairbanks,Alaska,99706
Fairbanks,Alaska,99707
Fairbanks,Alaska,99708
Fairbanks,Alaska,99709
Fairbanks,Alaska,99710
Fairbanks,Alaska,99711
Fairbanks,Alaska,99712
Salcha,Alaska,99714
Two Rivers,Alaska,99716
Ester,Alaska,99725
Fairbanks,Alaska,99775
Fairbanks,Alaska,99790
Haines,Alaska,99827
Juneau,Alaska,99801
Juneau,Alaska,99802
Juneau,Alaska,99803
Juneau,Alaska,99811
Juneau,Alaska,99812
Auke Bay,Alaska,99821
Douglas,Alaska,99824
Juneau,Alaska,99850
Anchor Point,Alaska,99556
Clam Gulch,Alaska,99568
Cooper Landing,Alaska,99572
Homer,Alaska,99603
Hope,Alaska,99605
Kasilof,Alaska,99610
Kenai,Alaska,99611
Moose Pass,Alaska,99631
Nikiski,Alaska,99635
Ninilchik,Alaska,99639
Seldovia,Alaska,99663
Seward,Alaska,99664
Soldotna,Alaska,99669
Sterling,Alaska,99672
Tyonek,Alaska,99682
Ketchikan,Alaska,99901
Ward Cove,Alaska,99928
Ketchikan,Alaska,99950
Port Lions,Alaska,99550
Karluk,Alaska,99608
Kodiak,Alaska,99615
Kodiak,Alaska,99619
Larsen Bay,Alaska,99624
Old Harbor,Alaska,99643
Ouzinkie,Alaska,99644
Kodiak,Alaska,99697
