City,State,ZipCode,County
Akutan,Alaska,99553,Aleutians East
Cold Bay,Alaska,99571,Aleutians East
False Pass,Alaska,99583,Aleutians East
King Cove,Alaska,99612,Aleutians East
Sand Point,Alaska,99661,Aleutians East
Adak,Alaska,99546,Aleutians West (CA)
Atka,Alaska,99547,Aleutians West (CA)
Saint George Island,Alaska,99591,Aleutians West (CA)
Nikolski,Alaska,99638,Aleutians West (CA)
Saint Paul Island,Alaska,99660,Aleutians West (CA)
Unalaska,Alaska,99685,Aleutians West (CA)
Dutch Harbor,Alaska,99692,Aleutians West (CA)
Anchorage,Alaska,99501,Anchorage Municipality
Anchorage,Alaska,99502,Anchorage Municipality
Anchorage,Alaska,99503,Anchorage Municipality
Anchorage,Alaska,99504,Anchorage Municipality
Jber,Alaska,99505,Anchorage Municipality
Jber,Alaska,99506,Anchorage Municipality
Anchorage,Alaska,99507,Anchorage Municipality
Anchorage,Alaska,99508,Anchorage Municipality
Anchorage,Alaska,99509,Anchorage Municipality
Anchorage,Alaska,99510,Anchorage Municipality
Anchorage,Alaska,99511,Anchorage Municipality
Anchorage,Alaska,99513,Anchorage Municipality
Anchorage,Alaska,99514,Anchorage Municipality
Anchorage,Alaska,99515,Anchorage Municipality
Anchorage,Alaska,99516,Anchorage Municipality
Anchorage,Alaska,99517,Anchorage Municipality
Anchorage,Alaska,99518,Anchorage Municipality
Anchorage,Alaska,99519,Anchorage Municipality
Anchorage,Alaska,99520,Anchorage Municipality
Anchorage,Alaska,99521,Anchorage Municipality
Anchorage,Alaska,99522,Anchorage Municipality
Anchorage,Alaska,99523,Anchorage Municipality
Anchorage,Alaska,99524,Anchorage Municipality
Anchorage,Alaska,99529,Anchorage Municipality
Anchorage,Alaska,99530,Anchorage Municipality
Indian,Alaska,99540,Anchorage Municipality
Chugiak,Alaska,99567,Anchorage Municipality
Eagle River,Alaska,99577,Anchorage Municipality
Girdwood,Alaska,99587,Anchorage Municipality
Anchorage,Alaska,99599,Anchorage Municipality
Anchorage,Alaska,99695,Anchorage Municipality
Kongiganak,Alaska,99545,Bethel Census Area
Akiachak,Alaska,99551,Bethel Census Area
Akiak,Alaska,99552,Bethel Census Area
Aniak,Alaska,99557,Bethel Census Area
Bethel,Alaska,99559,Bethel Census Area
Chefornak,Alaska,99561,Bethel Census Area
Crooked Creek,Alaska,99575,Bethel Census Area
Eek,Alaska,99578,Bethel Census Area
Goodnews Bay,Alaska,99589,Bethel Census Area
Kalskag,Alaska,99607,Bethel Census Area
Kasigluk,Alaska,99609,Bethel Census Area
Kipnuk,Alaska,99614,Bethel Census Area
Kwethluk,Alaska,99621,Bethel Census Area
Kwigillingok,Alaska,99622,Bethel Census Area
Lower Kalskag,Alaska,99626,Bethel Census Area
Mekoryuk,Alaska,99630,Bethel Census Area
Napakiak,Alaska,99634,Bethel Census Area
Toksook Bay,Alaska,99637,Bethel Census Area
Nunapitchuk,Alaska,99641,Bethel Census Area
Platinum,Alaska,99651,Bethel Census Area
Quinhagak,Alaska,99655,Bethel Census Area
Red Devil,Alaska,99656,Bethel Census Area
Sleetmute,Alaska,99668,Bethel Census Area
Tuluksak,Alaska,99679,Bethel Census Area
Tuntutuliak,Alaska,99680,Bethel Census Area
Tununak,Alaska,99681,Bethel Census Area
Nightmute,Alaska,99690,Bethel Census Area
King Salmon,Alaska,99613,Bristol Bay
Naknek,Alaska,99633,Bristol Bay
South Naknek,Alaska,99670,Bristol Bay
Clear,Alaska,99704,Denali
Cantwell,Alaska,99729,Denali
Healy,Alaska,99743,Denali
Anderson,Alaska,99744,Denali
Denali National Park,Alaska,99755,Denali
Aleknagik,Alaska,99555,Dillingham (CA)
Clarks Point,Alaska,99569,Dillingham (CA)
Dillingham,Alaska,99576,Dillingham (CA)
Ekwok,Alaska,99580,Dillingham (CA)
Manokotak,Alaska,99628,Dillingham (CA)
New Stuyahok,Alaska,99636,Dillingham (CA)
Togiak,Alaska,99678,Dillingham (CA)
Fairbanks,Alaska,99701,Fairbanks North Star
Eielson Afb,Alaska,99702,Fairbanks North Star
Fort Wainwright,Alaska,99703,Fairbanks North Star
North Pole,Alaska,99705,Fairbanks North Star
Fairbanks,Alaska,99706,Fairbanks North Star
Fairbanks,Alaska,99707,Fairbanks North Star
Fairbanks,Alaska,99708,Fairbanks North Star
Fairbanks,Alaska,99709,Fairbanks North Star
Fairbanks,Alaska,99710,Fairbanks North Star
Fairbanks,Alaska,99711,Fairbanks North Star
Fairbanks,Alaska,99712,Fairbanks North Star
Salcha,Alaska,99714,Fairbanks North Star
Two Rivers,Alaska,99716,Fairbanks North Star
Ester,Alaska,99725,Fairbanks North Star
Fairbanks,Alaska,99775,Fairbanks North Star
Fairbanks,Alaska,99790,Fairbanks North Star
Haines,Alaska,99827,Haines
Juneau,Alaska,99801,Juneau City and Borough
Juneau,Alaska,99802,Juneau City and Borough
Juneau,Alaska,99803,Juneau City and Borough
Juneau,Alaska,99811,Juneau City and Borough
Juneau,Alaska,99812,Juneau City and Borough
Auke Bay,Alaska,99821,Juneau City and Borough
Douglas,Alaska,99824,Juneau City and Borough
Juneau,Alaska,99850,Juneau City and Borough
Anchor Point,Alaska,99556,Kenai Peninsula
Clam Gulch,Alaska,99568,Kenai Peninsula
Cooper Landing,Alaska,99572,Kenai Peninsula
Homer,Alaska,99603,Kenai Peninsula
Hope,Alaska,99605,Kenai Peninsula
Kasilof,Alaska,99610,Kenai Peninsula
Kenai,Alaska,99611,Kenai Peninsula
Moose Pass,Alaska,99631,Kenai Peninsula
Nikiski,Alaska,99635,Kenai Peninsula
Ninilchik,Alaska,99639,Kenai Peninsula
Seldovia,Alaska,99663,Kenai Peninsula
Seward,Alaska,99664,Kenai Peninsula
Soldotna,Alaska,99669,Kenai Peninsula
Sterling,Alaska,99672,Kenai Peninsula
Tyonek,Alaska,99682,Kenai Peninsula
Ketchikan,Alaska,99901,Ketchikan Gateway
Ward Cove,Alaska,99928,Ketchikan Gateway
Ketchikan,Alaska,99950,Ketchikan Gateway
Port Lions,Alaska,99550,Kodiak Island
Karluk,Alaska,99608,Kodiak Island
Kodiak,Alaska,99615,Kodiak Island
Kodiak,Alaska,99619,Kodiak Island
Larsen Bay,Alaska,99624,Kodiak Island
Old Harbor,Alaska,99643,Kodiak Island
Ouzinkie,Alaska,99644,Kodiak Island
Kodiak,Alaska,99697,Kodiak Island
Alakanuk,Alaska,99554,Kusilvak
Chevak,Alaska,99563,Kusilvak
Emmonak,Alaska,99581,Kusilvak
Marshall,Alaska,99585,Kusilvak
Hooper Bay,Alaska,99604,Kusilvak
Kotlik,Alaska,99620,Kusilvak
Mountain Village,Alaska,99632,Kusilvak
Pilot Station,Alaska,99650,Kusilvak
Russian Mission,Alaska,99657,Kusilvak
Saint Marys,Alaska,99658,Kusilvak
Scammon Bay,Alaska,99662,Kusilvak
Nunam Iqua,Alaska,99666,Kusilvak
Chignik Lake,Alaska,99548,Lake and Peninsula
Port Heiden,Alaska,99549,Lake and Peninsula
Chignik,Alaska,99564,Lake and Peninsula
Chignik Lagoon,Alaska,99565,Lake and Peninsula
Egegik,Alaska,99579,Lake and Peninsula
Iliamna,Alaska,99606,Lake and Peninsula
Levelock,Alaska,99625,Lake and Peninsula
Nondalton,Alaska,99640,Lake and Peninsula
Pedro Bay,Alaska,99647,Lake and Peninsula
Perryville,Alaska,99648,Lake and Peninsula
Pilot Point,Alaska,99649,Lake and Peninsula
Port Alsworth,Alaska,99653,Lake and Peninsula
Wasilla,Alaska,99623,Matanuska-Susitna Borough
Wasilla,Alaska,99629,Matanuska-Susitna Borough
Palmer,Alaska,99645,Matanuska-Susitna Borough
Big Lake,Alaska,99652,Matanuska-Susitna Borough
Wasilla,Alaska,99654,Matanuska-Susitna Borough
Skwentna,Alaska,99667,Matanuska-Susitna Borough
Sutton,Alaska,99674,Matanuska-Susitna Borough
Talkeetna,Alaska,99676,Matanuska-Susitna Borough
Trapper Creek,Alaska,99683,Matanuska-Susitna Borough
Wasilla,Alaska,99687,Matanuska-Susitna Borough
Willow,Alaska,99688,Matanuska-Susitna Borough
Houston,Alaska,99694,Matanuska-Susitna Borough
Saint Michael,Alaska,99659,Nome (CA)
Stebbins,Alaska,99671,Nome (CA)
Unalakleet,Alaska,99684,Nome (CA)
Elim,Alaska,99739,Nome (CA)
Gambell,Alaska,99742,Nome (CA)
